"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Date.c", "C", 122, 0, 4, 47, 173
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\DisplayBoard.c", "C", 185, 0, 1, 69, 255
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\Date.h", "C++", 0, 16, 0, 7, 23
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\DisplayBoard.h", "C++", 0, 6, 1, 4, 11
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\Keypad.h", "C++", 0, 9, 0, 2, 11
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\light.h", "C++", 0, 8, 1, 5, 14
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\main.h", "C++", 0, 5, 0, 0, 5
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\menu.h", "C++", 0, 20, 0, 6, 26
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\pio.h", "C++", 0, 14, 0, 5, 19
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\temp.h", "C++", 0, 26, 1, 16, 43
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Keypad.c", "C", 29, 0, 2, 7, 38
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\String.c", "C", 2, 0, 0, 1, 3
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\light.c", "C", 108, 0, 32, 49, 189
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\main.c", "C", 97, 0, 1, 34, 132
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\menu.c", "C", 323, 0, 3, 78, 404
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\pio.c", "C", 52, 0, 1, 13, 66
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\temp.c", "C", 177, 0, 8, 53, 238
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\test.c", "C", 14, 0, 5, 9, 28
"Total", "-", 1109, 104, 60, 405, 1678
