"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Date.c", "C", -2, 0, 0, -2, -4
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\Date.h", "C++", 0, 0, 0, -1, -1
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\menu.h", "C++", 0, 1, 0, 0, 1
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\temp.h", "C++", 0, 0, 0, -2, -2
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\String.c", "C", -2, 0, 0, -1, -3
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\light.c", "C", -3, 0, 0, -1, -4
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\main.c", "C", -1, 0, 0, -4, -5
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\menu.c", "C", 9, 0, 0, 0, 9
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\temp.c", "C", 1, 0, 0, -2, -1
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\test.c", "C", -14, 0, -5, -9, -28
"Total", "-", -12, 1, -5, -22, -38
